,,Rede 1,Rede 1,Rede 1,Rede 2,Rede 2,Rede 2,Rede 3,Rede 3,Rede 3
Amostra,f(t),(T1),(T2),(T3),(T1),(T2),(T3),(T1),(T2),(T3)
t = 101,0.4173,,,,,,,,,
t = 102,0.0062,,,,,,,,,
t = 103,0.3387,,,,,,,,,
t = 104,0.1886,,,,,,,,,
t = 105,0.7418,,,,,,,,,
t = 106,0.3138,,,,,,,,,
t = 107,0.4466,,,,,,,,,
t = 108,0.0835,,,,,,,,,
t = 109,0.1930,,,,,,,,,
t = 110,0.3807,,,,,,,,,
t = 111,0.5438,,,,,,,,,
t = 112,0.5897,,,,,,,,,
t = 113,0.3536,,,,,,,,,
t = 114,0.2210,,,,,,,,,
t = 115,0.0631,,,,,,,,,
t = 116,0.4499,,,,,,,,,
t = 117,0.2564,,,,,,,,,
t = 118,0.7642,,,,,,,,,
t = 119,0.1411,,,,,,,,,
t = 120,0.3626,,,,,,,,,
Erro Relativo Médio:,Erro Relativo Médio:,,,,,,,,,
Variância:,Variância:,,,,,,,,,
